,<bytes_London_Buses_route_282>,<traf_London_Buses_route_282>,bratio_First_London,bratio_List_of_bus_routes_in_London,bratio_London_Buses_route_195,traf_First_London,traf_List_of_bus_routes_in_London,traf_London_Buses_route_195
2008/10/04/16,8888,1,11.485148514851485,65.74009900990099,2.207020702070207,2,42,2
2008/10/05/18,9074,1,67.00154286973772,77.49702446550585,1.0775843068106679,8,66,1
2008/10/06/19,12656,8,4.793457648546144,59.80957648546144,1.5785398230088497,15,23,2
2008/10/09/10,9091,1,18.464855351446484,53.857661423385764,1.079089209107909,2,4,1
2008/10/11/14,18171,2,1.0006603929337956,26.248637939574046,0.5500522811072588,1,27,1
2008/10/15/09,9095,1,9.248708081363386,144.62594832325453,1.0780648708081364,1,7,1
2008/10/15/14,9094,1,3.9985704860347484,144.90367275126457,1.0781834176380032,2,11,1
2008/10/15/20,9091,1,2.168078319216808,34.56231437685623,1.079089209107909,4,8,1
2008/10/19/19,37926,2,3.6755523914992354,20.23200442967885,0.29061857301059957,5,38,3
2008/10/22/20,18184,2,11.029311482622086,86.94924109106907,0.538220413550374,12,20,1
2008/10/23/23,9092,1,11.252419709634843,11.610756709194897,1.0976682798064232,2,4,1
2008/10/24/20,9092,1,2.5076990761108666,40.45611526616806,1.0977782666080071,10,11,1
2008/10/25/11,9605,2,1.9483602290473712,54.46559083810515,3.3719937532535136,2,11,1
2008/10/30/15,18700,3,3.9483422459893047,256.67267379679146,0.5721925133689839,6,31,2
