,<bytes_Kimberly_Morgan>,<traf_Kimberly_Morgan>,bratio_Alcorn_State_University,bratio_Christine_Kozlowski,bratio_Miss_America_2008,bratio_Miss_Mississippi,"bratio_Taylor,_Mississippi",traf_Alcorn_State_University,traf_Christine_Kozlowski,traf_Miss_America_2008,traf_Miss_Mississippi,"traf_Taylor,_Mississippi"
2008/10/02/18,48930,2,3.108011444921316,0.14410382178622522,2.4097894951972205,0.2636623748211731,0.21340690782750868,7,1,4,1,1
2008/10/03/21,24956,1,5.507573329059144,0.8321445744510338,5.395776566757493,2.0755329379708285,0.4184164128866806,2,1,7,1,1
2008/10/06/19,16651,2,4.0126118551438354,0.4243588973635217,3.8385081977058433,3.095009308750225,0.6270494264608732,5,1,4,4,1
2008/10/06/22,8328,1,20.249399615754083,0.848583093179635,15.484990393852065,1.5471902017291066,1.2749759846301634,8,1,5,1,1
2008/10/07/00,8328,1,8.023414985590778,0.8701969260326609,15.34942363112392,3.094380403458213,1.2537223823246877,5,1,8,2,1
2008/10/09/19,8328,1,28.79382804995197,0.8479827089337176,11.53698366954851,3.3756003842459172,1.2537223823246877,5,1,6,7,1
2008/10/14/23,8328,1,6.00828530259366,0.8481027857829011,7.8437800192122955,3.2098943323727185,1.2533621517771374,3,1,7,4,1
2008/10/20/01,8329,1,10.239164365470044,0.8480009604994597,9.594789290431024,1.7172529715452034,1.253932044663225,9,1,5,4,1
2008/10/23/14,8397,1,2.0010718113612005,3.314636179587948,28.19721329046088,3.0725259021078957,2.5093485768726924,1,2,11,2,2
2008/10/23/20,8329,1,14.177212150318166,0.84776083563453,1.9189578580862048,6.195221515187898,5.529235202305198,8,1,1,4,2
2008/10/24/20,8329,1,29.74618801776924,0.84776083563453,20.580862048265097,3.184776083563453,2.50786408932645,8,1,4,3,2
2008/10/26/07,8329,1,2.130027614359467,0.8478808980669948,5.756873574258615,1.5489254412294393,1.253932044663225,3,1,3,1,1
2008/10/27/17,34115,2,8.559138208998974,0.6179100102594167,4.9183643558551955,3.055723288875861,1.0531730910156822,10,1,9,2,1
2008/10/28/04,8387,1,8.34982711338977,0.843686657922976,3.8156671038511982,1.5382139024681054,4.98104208894718,8,1,2,1,4
2008/10/30/16,101463,6,0.1673615012369041,0.07143490730611159,0.3154253274592709,0.5180410593024058,0.10294393029971517,1,1,2,1,1
2008/10/31/04,8387,1,14.166925002980804,0.8643138190056039,3.815905568141171,1.5605103135805414,1.2453797543817813,7,1,2,1,1
