,<bytes_Something's_Gotta_Give>,<traf_Something's_Gotta_Give>,bratio_76th_Academy_Awards,bratio_Jack_Nicholson,bratio_List_of_Top_25_singles_for_1955_in_Australia,bratio_List_of_films_set_in_New_York_City,bratio_Something's_Gotta_Give_(disambiguation),traf_76th_Academy_Awards,traf_Jack_Nicholson,traf_List_of_Top_25_singles_for_1955_in_Australia,traf_List_of_films_set_in_New_York_City,traf_Something's_Gotta_Give_(disambiguation)
2008/10/01/01,20009,5,10.668699085411564,360.67574591433856,0.520515767904443,7.886551052026588,0.3168574141636264,8,192,2,4,1
2008/10/03/03,12563,2,13.892700788028337,533.5771710578683,3.4531560932898193,9.177186977632731,0.5047361299052774,9,141,1,17,1
2008/10/04/05,19034,3,5.390564253441211,279.0163391825155,0.548334559209835,2.3139644846064935,0.3331406955973521,5,112,1,2,1
2008/10/04/06,6750,2,9.205925925925927,773.3802962962963,0.13837037037037037,6.594222222222222,0.9394074074074074,4,182,2,3,1
2008/10/06/03,18846,3,10.611482542714635,528.2623368354027,0.5533269659344158,26.543298312639287,1.6823198556722911,3,290,1,16,5
2008/10/09/18,19049,3,11.205050133865294,332.8656097432936,2.2769699196808233,1.331933434825975,1.0232033177594624,8,149,1,8,4
2008/10/10/16,6293,1,16.548069283330683,1229.8013665978071,1.6869537581439695,17.648339424757665,1.0076275226442077,6,168,1,5,1
2008/10/10/23,13615,4,15.677488064634595,437.2157179581344,3.186632390745501,8.183327212633126,1.3968417186926185,7,144,1,7,3
2008/10/12/22,18874,3,14.300572215746529,365.593514888206,0.5530359224329766,10.887994065910776,0.3360178022676698,17,199,1,9,1
2008/10/13/18,49297,6,5.770432277826237,155.15260563523134,0.21173702253686838,4.616812382092217,0.13236099559810943,9,208,1,12,1
2008/10/14/02,59223,4,2.2144268274150245,131.902031305405,0.1762659777451328,5.382858011245631,0.12366816946118907,3,249,1,10,2
2008/10/14/12,42817,5,7.583903589695682,142.66543662563936,0.24380503071210033,4.84742041712404,0.4205339000864143,9,128,1,3,1
2008/10/14/14,36697,4,1.1212088181595226,157.87800092650625,0.5689293402730469,4.9610322369676,0.19181404474480201,2,128,2,16,2
2008/10/16/14,12935,2,13.341012756088134,628.8339389253962,0.8071124855044453,19.295554696559723,0.5265558562040974,6,147,1,9,2
2008/10/16/15,25701,4,16.393447725769427,277.4227851056379,1.6885335200964944,13.319715186179526,0.7081436519979767,7,194,1,11,1
2008/10/21/04,19617,4,6.3046337360452664,371.27114237651017,2.2110414436458172,14.03746750267625,0.3232910230922159,6,195,1,7,1
2008/10/23/10,41979,3,2.63179208651945,59.29914957478739,1.0331117939922343,9.393530098382525,0.1524571809714381,2,68,1,5,1
2008/10/23/19,25618,4,5.632484971504411,330.79939886017644,0.4069404325083925,6.960769771254586,1.0046451713638849,7,201,1,8,4
2008/10/25/07,25615,4,5.686199492484872,266.9704470037088,0.4076127269178216,1.8034354870193245,0.24758930314268984,8,234,1,6,1
2008/10/25/15,32513,6,4.6889244302279085,154.92366130470887,0.014363485375080738,9.83234398548273,0.19506043736351614,4,122,1,20,1
2008/10/25/19,32512,6,5.326494832677166,228.19638902559055,0.3214505413385827,8.23871186023622,0.39013287401574803,5,189,1,14,2
2008/10/26/14,12853,2,15.168287559324671,279.23745429082703,0.0364117326694157,17.485411966077958,0.4934256593791333,9,99,1,13,1
2008/10/28/22,25747,4,6.848059968151629,378.229347108401,0.4060278867440867,7.782693129296617,0.2463199596069445,12,219,1,9,1
2008/10/29/12,30934,3,6.339367686041249,128.01874959591387,0.3382685717980216,1.440033619965087,0.2110299346996832,8,92,1,2,1
2008/10/30/01,13280,3,16.219578313253013,410.4518825301205,0.8012048192771084,5.09269578313253,0.4775602409638554,7,172,1,4,1
2008/10/30/08,6406,1,41.41742116765532,1187.6258195441774,6.897752107399313,7.135497970652513,0.9900093662191696,8,95,1,4,1
